researcher_name,profile_url,google_scholar_id,affiliation,researcher_total_citations,researcher_keywords,researcher_homepage,paper_title,paper_citations,paper_year,paper_url,paper_abstract
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,The typing cure: Experiences with large language model chatbots for mental health support,106,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:Fu2w8maKXqMC,"People experiencing severe distress increasingly use Large Language Model (LLM) chatbots as mental health support tools. Discussions on social media have described how engagements were lifesaving for some, but evidence suggests that general-purpose LLM chatbots also have notable risks that could endanger the welfare of users if not designed responsibly. In this study, we investigate the lived experiences of people who have used LLM chatbots for mental health support. We build on interviews with 21 individuals from globally diverse backgrounds to analyze how users create unique support roles for their chatbots, fill in gaps in everyday care, and navigate associated cultural limitations when seeking support from chatbots. We ground our analysis in psychotherapy literature around effective support, and introduce the concept of therapeutic alignment, or aligning AI with therapeutic values for mental health …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Benefits and Harms of Large Language Models in Digital Mental Health,103,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:W5xh706n7nkC,"The past decade has been transformative for mental health research and practice. The ability to harness large repositories of data, whether from electronic health records (EHR), mobile devices, or social media, has revealed a potential for valuable insights into patient experiences, promising early, proactive interventions, as well as personalized treatment plans. Recent developments in generative artificial intelligence, particularly large language models (LLMs), show promise in leading digital mental health to uncharted territory. Patients are arriving at doctors' appointments with information sourced from chatbots, state-of-the-art LLMs are being incorporated in medical software and EHR systems, and chatbots from an ever-increasing number of startups promise to serve as AI companions, friends, and partners. This article presents contemporary perspectives on the opportunities and risks posed by LLMs in the design, development, and implementation of digital mental health tools. We adopt an ecological framework and draw on the affordances offered by LLMs to discuss four application areas -- care-seeking behaviors from individuals in need of care, community care provision, institutional and medical care provision, and larger care ecologies at the societal level. We engage in a thoughtful consideration of whether and how LLM-based technologies could or should be employed for enhancing mental health. The benefits and harms our article surfaces could serve to help shape future research, advocacy, and regulatory efforts focused on creating more responsible, user-friendly, equitable, and secure LLM-based tools for mental health treatment …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Uber in Bangladesh: The Tangled Web of Mobility and Justice,102,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:g5m5HwL7SMYC,"Ridesharing services have been viewed as heralding the next generation of mobility and recognized for their potential to provide an alternate and more flexible model of work. These services have also been critiqued for their treatment of employees, low wages, and other concerns. In this paper, we present a qualitative investigation of the introduction of Uber in Dhaka, Bangladesh. Using interview data from drivers and riders, and content analysis of riders' Facebook posts, we highlight how Uber's introduction into Dhaka's existing transportation infrastructure influenced experiences and practices of mobility in the city. Drawing on Iris Marion Young's theory of justice, we demonstrate how the introduction of Uber in Dhaka reinforces existing modes of oppression and introduces new ones, even as it generates room for creative modes of resistance. Finally, we underline algorithms' opacity and veneer of objectivity as a …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Culture in Action: Unpacking Capacities to Inform Assets-Based Design,101,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:OU6Ihb5iCvQC,"The field of Human-Computer Interaction (HCI) aims at securing a lasting impact for technology-based interventions in the context of social inequities. Increasingly, HCI scholars are proposing assets-based design as an effective approach towards this issue. Rather than starting from people's needs and deficits, this approach posits that design should start from a deep understanding of people's assets. A pending issue, however, is how to account for the situated nature of assets; that is, how to decide which asset to leverage and for what design purpose. Drawing from cultural sociology and shifting the emphasis from assets to capacities, we propose Swidler's theory of culture-in-action as an analytical lens for unpacking the complex relationship between capacities, goals, and structural limitations. Leveraging findings from a Participatory Design engagement with 35 Latino immigrant parents for envisioning parent …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Empowerment on the Margins: The Online Experiences of Community Health Workers,101,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:D03iK_w7-QYC,"Research in Human-Computer Interaction for Development (HCI4D) routinely relies on and engages with the increasing penetration of smartphones and the internet. We examine the mobile, internet, and social media practices of women community health workers, for whom internet access has newly become possible. These workers are uniquely positioned at the intersections of various communities of practice---their familial units, workplaces, networks of health workers, larger communities, and the online world. However, they remain at the margins of each, on account of difference in gender, class, literacies, professional expertise, and more. Our findings unpack the legitimate peripheral participation of these workers; examining how they appropriate smartphones and the internet to move away from the peripheries to fully participate in these communities. We discuss how their activities are motivated by moves …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Engaging Solidarity in Data Collection Practices for Community Health,101,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:M05iB0D1s5AC,"Researchers and practitioners engaged in global health are increasingly turning to data-driven approaches. However, the institutionalized roles and responsibilities---as well as motivations and workflows---of those involved in data collection are not well understood. To attain a deeper understanding of the practices of frontline health workers engaged in data collection, we conducted fieldwork in underserved contexts of Delhi, India. In particular, we interviewed these workers and observed their interactions with 200 households. Our analysis takes a postcolonial feminist perspective to examine how these frontline health workers navigate the multiple demands placed on them by their families, society, local residents, and health organizations. We also discuss how they practice feminist solidarity, and distill lessons for improved data collection across global health initiatives."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,“It’sa girl thing” Examining Challenges and Opportunities around Menstrual Health Education in India,93,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:b0M2c_1WBrUC,"Cultural taboos and limiting social norms make it challenging to communicate and teach about menstrual health in India. We present findings from an inquiry of current approaches used to educate adolescents about menstruation, examining the perspectives of young adults, parents, teachers, social workers, and health professionals for identifying design opportunities and potential for impact. Our findings from the content analysis of education and training materials in use, an online survey of 391 adults, 52 interviews, and 2 focus groups indicate that although detailed and descriptive information materials are available for use, there exists a disconnect between parents’ and teachers’ expectations regarding who will introduce these topics to adolescents. We also highlight a clear difference in attitudes regarding who must be taught, how, where, and at what stages. Finally, we articulate factors that shape access and …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,El Paquete Semanal: The Week's Internet in Havana,90,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:ns9cj8rnVeAC,"We contribute a case study of El Paquete Semanal or ""The Weekly Package"" -- the pervasive, offline internet in Cuba. We conducted a qualitative inquiry of El Paquete through extensive fieldwork---interviews and observations---in Havana, Cuba. Our findings highlight the human infrastructure that supports this offline internet, rendered visible through the lens of articulation work. By offering an in-depth perspective into these workings of El Paquete, we aim to challenge established notions of what an (or the) internet ""should"" look like in more and less ""developed"" contexts. We highlight how El Paquete is a non-standardized and non-neutral internet, but still human-centered. We also offer an enriched understanding of how an entirely offline internet can provide expansive information access to support leisure and livelihood, additionally serving as a locally relevant platform that affords local participation."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,"Individually vulnerable, collectively safe: The security and privacy practices of households with older adults",89,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:geHnlv5EZngC,"Older adults are especially vulnerable to online cybersecurity and privacy (SP) threats, such as phishing, ransomware, and targeted misinformation campaigns. Prior work has suggested that this vulnerability may be addressed with the design of social SP interfaces, such that groups of individuals might work together on behalf of one another to manage SP threats collectively. To this end, we present findings from a qualitative inquiry conducted with older adults and members of technology-rich middle-income households in urban India, where technology users have been shown to engage in relatively more social SP practices. Our research examines the collaborative behaviors enacted by different members of the household for protection from SP threats. In particular, we show how self-appointed family technology managers straddle the line between stewardship and paternalism in their efforts to protect older adults …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,"If it rains, ask grandma to disconnect the nano: Maintenance & care in Havana's streetnet",85,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:xtRiw3GOFMkC,"In Cuba, where internet access is severely constrained, technology enthusiasts have built StreetNet (SNET), a community network (CN) that has grown organically, reaching tens of thousands of households across Havana. Through fieldwork conducted in 2016 and 2017, we investigate participants' strategies as they engage with a network where the material elements---cables, switches, nanos, and servers---are regularly breaking down. Drawing on maintenance and care (M&C) scholarship, we present an in-depth investigation of the management and anticipation of breakdowns in SNET, foregrounding the deeply relational nature of repair work, collective efforts required for SNET's M&C, and the values and motivations underpinning these practices. Our paper contributes a unique perspective on how CNs are run locally and organically, outlining considerations for how interventions along these lines might be more …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Ai in global health: The view from the front lines,83,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:D_sINldO8mEC,"There has been growing interest in the application of AI for Social Good, motivated by scarce and unequal resources globally. We focus on the case of AI in frontline health, a Social Good domain that is increasingly a topic of significant attention. We offer a thematic discourse analysis of scientific and grey literature to identify prominent applications of AI in frontline health, motivations driving this work, stakeholders involved, and levels of engagement with the local context. We then uncover design considerations for these systems, drawing from data from three years of ethnographic fieldwork with women frontline health workers and women from marginalized communities in Delhi (India). Finally, we outline an agenda for AI systems that target Social Good, drawing from literature on HCI4D, post-development critique, and transnational feminist theory. Our paper thus offers a critical and ethnographic perspective to …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,"Examining the"" Global"" Language of Emojis: Designing for Cultural Representation",83,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:f2IySw72cVMC,"Emojis are becoming an increasingly popular mode of communication between individuals worldwide, with researchers claiming them to be a type of ""ubiquitous language'' that can span different languages due to its pictorial nature. Our study uses a combination of methods to examine how emojis are adopted and perceived by individuals from diverse cultural backgrounds and 45 countries. Our survey and interview findings point to the existence of a cultural gap between user perceptions and the current emoji standard. Using participatory design, we sought to address this gap by designing 40 emojis and conducted another survey to evaluate their acceptability compared to existing Japanese emojis. We also draw on participant observation from a Unicode Consortium meeting on emoji addition. Our analysis leads us to discuss how emojis might be made more inclusive, diverse, and representative of the …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Care as a resource in underserved learning environments,83,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:SeFeTyx0c_EC,"We present results from an ethnographic inquiry of technology-based learning at an after-school learning center in Mumbai (India) that caters to students from neighboring slum communities.We conducted participant observation for 120 hours and 58 semi-structured interviews with different stakeholders (including teachers, staff, parents, and students) at the center over nine weeks from December 2015 to July 2016. Taking an assets-based approach in an underserved context, we uncover the role of care as a resource and present the rich and varied caring behaviors enacted in this sociotechnical system.We then discuss how care effects a greater sense of ownership, interdependency, and community. Examining the role of aligning values in motivating caring behavior, we conclude with recommendations for supporting, leveraging, and extending care via technology design in an underserved, technology-enhanced …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Mental health in the global south: challenges and opportunities in HCI for development,81,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:abG-DnoFyZgC,"Mental illness is rapidly gaining recognition as a serious global challenge. Recent human-computer interaction (HCI) research has investigated mental health as a domain of concern, but is yet to venture into the Global South, where the problem exhibits a more complex, intersectional nature. In this paper, we review work on mental health in the Global South and present a case for HCI for Development (HCI4D) to look at mental health-both because it is an inarguably important area of concern in itself, and also because it impacts the efficacy of HCI4D interventions in other domains. We consider the role of cultural and resource-based interactions towards accessibility challenges and continuing stigma around mental health. We also identify participants' mental health as a constant consideration for HCI4D and present best practices for measuring and incorporating it. As an example, we demonstrate how both the …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Rethinking Menstrual Trackers Towards Period-Positive Ecologies,79,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:5Ul4iDaHHb8C,"Menstrual tracking is a mechanism widely engaged towards preserving menstrual dignity, as natural birth control, for ensuring adequate preparation for an upcoming cycle, among other motivations. We investigate the design of digital menstrual trackers towards enabling period-positive ecologies in otherwise stigmatized contexts. We examine menstrual tracking practices across ages (12–65 yrs.) using a combination of methods—3 surveys (450+ responses), a cultural probe (10 adolescents), interviews (16 adults), and a review of (9) mobile applications. Our analysis highlights the diversity across menstrual tracking practices and the role of relationships in influencing these practices throughout the menstrual journey. We also identify menstrual tracking as an avenue towards the emancipation of those who menstruate. Finally, we draw on Martha Nussbaum’s central human capabilities to discuss sociotechnical …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Bridging disconnected knowledges for community health,79,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:ldfaerwXgEUC,"We conducted a field study of Mohalla Clinics in Delhi (India), drawing on Haraway's work to highlight the importance of considering disparate, partial perspectives in the ecologies of such clinics. We emphasized that inadequate attention given to patients' and health workers' perspectives, and the low preparedness of the doctors at the clinics, resulted in the clinics being unable to address the needs of target patient groups. We concluded by contributing to ongoing, important conversations in the fields of ICTD, CSCW, and HCI towards redesigning healthcare interventions, revisiting patient empowerment, and redefining the role of ASHAs as infomediaries."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Aspirations-based design,78,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:rO6llkc54NcC,"We present a case for aspirations-based design by drawing on a qualitative inquiry into the lives of young girls in rural West Bengal (India). These girls form a particularly vulnerable population, coming from an area known to be susceptible to sex trafficking and crimes against women. We leverage our findings to engage with Kentaro Toyama's call for greater attention to aspirations in designing technology for development [51]. We highlight the aspirations of and for these girls and reflect on the embedded, temporal, and mutable qualities of these aspirations. Finally, we examine how an aspirations-based design approach might factor these qualities into technology design. Although our analysis draws on empirical findings from rural/suburban India, the insights derived from this research are relevant for the process of designing technologies towards fulfillment of aspirations, more generally."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,From Needs to Strengths: Operationalizing an Assets-Based Design of Technology,77,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:4fKUyHm3Qg0C,"Guided by a human-centered design focus on users' needs, Computer-Supported Collaborative Work (CSCW) research and practice have increasingly explored how to address the multiple inequities affecting historically marginalized groups. A growing body of CSCW and Human-Computer Interaction (HCI) research, building upon education and community development literature, argues that centering on needs dismisses marginalized users' capacity for driving change. Needs-based views often lead to designs for the ""here and now,'' further marginalizing populations and perpetuating stereotypes. In contrast, an assets-based approach that puts users' knowledge, strengths, and capacities---\textitassets ---at the core of design can better promote sustained impact. Translating assets into meaningful designs that interact with intersecting systems of oppression, however, raises critical questions:What are assets …"
